url,title,text
https://kaz.tengrinews.kz/crime/tagyi-juzdegen-kazakstandyik-karjyi-piramidasyinan-zardap-318947/,Тағы жүздеген қазақстандық қаржы пирамидасынан зардап шекті,"
Қарағанды облысында жергілікті тұрғындар 80 миллион теңге салым салған қаржы пирамидасының қызметі тоқтатылды, - деп хабарлайды Tengrinews.kz тілшісі Қаржы мониторингі агенттігіне сілтеме жасап.

""Ақпанда Қарағанды облысында қаржы (инвестициялық) пирамидасының қызметі тоқтады. Алдын ала тергеу нәтижесі бойынша 2020 жылы ұйымдастырушы салым сомасының теңгемен 18 пайыз және валютамен алты пайыз мөлшерінде жыл сайын табыс алу шартымен 80 миллион теңгеден аса соманы жеке тұлғалардан жинап алған"", - делінген хабарламада.

Бұл факт бойынша ҚК-нің 217-бабы 1-бөлігі ""қаржы (инвестициялық) пирамиданы құру және оған басшылық ету"" бойынша сотқа дейінгі тергеу басталды. 180-нен аса жәбірленуші анықталған.
Өзге ақпарат тергеу мүддесіне байланысты жария етуге жатпайды.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/crime/shyimkentte-jasosprm-syinyiptasyinyin-akesn-oltrd-degen-319195/,Шымкентте жасөспірім сыныптасының әкесін өлтірді деген күдікке ілінді,"
Шымкентте 15 жастағы жасөспірім сыныптасының әкесін өлтірді деген күдікке ілінді. Ер адам өз үйінен 150 метр қашықта таспен ұрып өлтірілген деген болжам бар, - деп хабарлайды Tengrinews.kz тілшісі КТК телеарнасына сілтеме жасап.
Қайтыс болған адамның туыстарының пікірінше, жасөспірімнің бұл ісіне екеуінің арасындағы көптен бере келе жатқан дұшпандық себеп болуы мүмкін: ер адам қызын жасөспірімнің шабуылынан қорғап, оған бірнеше рет ұрысқан.
Ер адам небәрі 42 жаста болған. Әпкесінің айтуынша, марқұмның сау-тамтығы қалмаған.

""Денесі толық қанға боялған, беті сынған, бәрі сынған. Білмеймін, айта алмаймын ... таспен ұрды дейді, оның қабырғалары да сынған. Сараптама растады"", - деді Севда Идрисова.

Қайтыс болған ер адамның қызы күдіктімен бір сыныпта оқиды. Қыз сыныптасының әрқашан қатал болғанын және ашуланып жүретінін айтады. Оның өзі бірнеше рет жылап келіп, әкесіне шағымданған.

""1-сыныптан 4-сыныпқа дейін бір партада отырдық. Екеуміз үнемі жанжалдасып жүретін едік: мені ұратын, шашымнан тартып, аяғымнан шалып құлататын. Ол осы уақытқа дейін солай істеп келді. Мен де үнемі әкеме айтатынмын. Әкем оған ескертті"", - деді қайтыс болған адамның қызы (аты-жөні көрсетілмеген - еск.).

Қайтыс болған адамның туыстары бұл өлтіруге себеп болды деп күдіктенеді. Сол қайғылы кеште күдікті мен оның достары адам өлтірілген үйдің жанында жүрген. Олардың қолында таяқ болған. Ер адамның денесі табылғаннан кейін полиция сол жерге осы жігітті алып келген.
Жасөспірім оқыған мектептегілер жағдайға араласпауды жөн көрді.

""Бізге ата-аналар тарапынан да, оқушылар тарапынан да шағым түскен жоқ. Орташа үлгерімі бар қарапайым бала"", - деп түсіндірді мектептегілер.

Полициядағылар да ауыр қылмыс туралы пікір білдірмеді. Олар қандай бап бойынша айып тағылғанын және қанша күдікті барын да айтпады. Тек 15 жастағы мектеп оқушысы изоляторда екені белгілі.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/events/ata-anasyi-jumyiska-ketken-ortten-5-jasar-bala-kaza-boldyi-319690/,Ата-анасы жұмысқа кеткен: өрттен 5 жасар бала қаза болды,"
Солтүстік Қазақстан облысы Аққайың ауданында өрттен бала қаза тапты. Бұл кезде ата-анасы үйде болмаған, - деп хабарлайды Tengrinews.kz тілшісі.
ТЖД өкілдері бала Аққайың ауданы Новороссийск ауылында қаза тапқанын хабарлады. Екі пәтерлі үйде өрт шыққанын куәгер хабарлаған.

""1 наурызда сағат 18:59-да Смирново ауылының ""101"" пультіне Новороссийск ауылындағы тұрғын үйде өрт шыққаны туралы хабарлама келіп түсті. Бір қабатты үйде пәтер жанып жатқаны анықталды. Өртсөндірушілер келгенге дейін жергілікті тұрғындар 2015 жылы туған баланың жансыз денесін алып шыққан. Өрт себебі анықталып жатыр, баланың денесі сараптамаға жіберілді"", - деп хабарлады СҚО ТЖД өкілі.

Бала үйде жалғыз қалған, ата-анасы жергілікті ЖШС-де жұмыс істейтіні белгілі болды.
Фото: СҚО ТЖД
Ақпарат бойынша, үйдің қабырғалары қамыстан жасалған соң оңай тұтанып кеткен. Өрт ас үйден шыққан, алдын ала болжам бойынша, тосын жайдың себебі пеш болған. Өрт салдарынан үйдің жартысы жарамай қалды. 
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/events/bko-da-eks-politsey-sokkyi-korgenn-malmdegen-ayeln-sotka-319272/,БҚО-да экс-полицей соққы көргенін мәлімдеген әйелін сотқа берді,"
БҚО-да әйелін ұрған экс-полицей оқиғаны БАҚ-та жариялағаны үшін оны сотқа берді. Былтыр Әсел Алқанова бұрынғы күйеуі Хайдар Жексеновтің алты жыл бойы ұрып-соғып келгенін БАҚ-та жариялады, - деп хабарлайды ""Уральская неделя"".
Істі жария еткені үшін Әсел Алқанованың бұрынғы күйеуі одан бір миллион теңге талап етті.
Сот отырысына басылымның бас редакторы Лұқпан Ахмедьяров та қатысты. Газет айыпталушы тарап ретінде шақырылған. Бұрынғы полиция қызметкері бұқаралық ақпарат құралы мен мақала авторын екінші жария етуші ретінде жауапкершілікке тартуды талап етті. Алайда басылым мәліметінше, сот процесіне дейін Жексенов пен оның қорғаушысынан ""УН"" редакциясына ешқандай шағым түспеген. Бұл дауды сотқа дейінгі реттеу тәртібі сақталмағандығын білдіреді.
Сонымен қатар, Хайдар Жексенов соттан бір іс бойынша екі оқиғаны қарауды талап етті. Талап арызға сәйкес, ол ұрып-соғу дерегімен БАҚ сайтында және оның әлеуметтік желідегі парақшаларында шыққан ақпаратты теріске шығаруды сұрады. Алайда Лұқпан Ахмедьяров газет жұмысына қатысты шағымды қарауды тоқтауды сұрады.
Судья Хатима Ерсенова бас редактор өтінішін қарастырып, ""УН"" тарапына берілген талап арызды  қараусыз қалдыру туралы ұйғарым шығарды.
Әсел Алқановаға қатысты моральдық зиян келтіргені үшін шығындарды өндіріп алу және жұбайының ар-намысы мен қадір-қасиетін қорлау туралы сот талқылауы жалғасып жатыр.
Айта кетейік, 2020 жылғы мамырда БҚО-да полиция қызметкерінің жұбайы әлеуметтік желілерде күйеуі үнемі ұрып-соғатынын айтып шағымданған еді. Ол жақ сүйегі сынып, ми жарақатын алғанын және денесінің бірнеше жерден көгергенін айтты. Осылайша іс көпшілікке жария болды.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/events/almatyida-koymalardyin-brnde-ort-boldyi-319604/,Алматыда қоймалардың бірінде өрт болды,"
Алматыдағы қоймалардың бірінде өрт шықты, - деп хабарлайды Tengrinews.kz тілшісі Алматы қаласы Төтенше жағдайлар департаменті баспасөз қызметіне сілтеме жасап.
2021 жылдың 28 ақпанында сағат 11:16-да Алматы қаласы Төтенше жағдайлар министрлігіне Алмалы ауданы, Мақатаев және Мұратбаев көшесі қиылысындағы нысанда өрт шыққаны туралы хабар түсті.
Өрт шыққан жерге оңтүстік және солтүстік екі өрт сөндіру учаскесі қызметкерлері жұмылдырылды. Автоцистерналар өрт гидрантына орнатылып, нысаннан төрт оттегі баллоны эвакуацияланды.

""Өрт шыққан жерде қатты түтіндеу және жоғары темпетартура болуына байланысты газ-түтіннен қорғау қызметі жұмылдырылды. Өрт сөндірушілер қауіпсіздік техникасын сақтай отырып, тыныс алу және көру мүшесін қорғау құралдарын қолданып жұмыс істеді. 20 минут ішінде өрт оқшауланды. 60-тан аса өрт сөндіруші, 15 техника жұмылдырылды"",-деп хабарлады ТЖД баспасөз қызметі өкілдері.

Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/crime/almatyi-oblyisyinda-khr-dan-kelgen-kazakstandyiktar-jalgan-319399/,Алматы облысында ҚХР-дан келген қазақстандықтар жалған құжаттар жасаған,"
Алматы облысында ҚХР-дан келген қазақстандықтар әлеуметтік төлем алу үшін жалған құжаттарды пайдаланған, - деп хабарлайды Tengrinews.kz тілшісі Қаржы мониторингі агенттігіне сілтеме жасап.
Істі Алматы облысы бойынша ЭТД және Еңбекшіқазақ ауданы прокуратурасының қызметкерлері тергегені хабарланды. Олар ҚХР-дан келген Қазақстан азаматтарына әлеуметтік және зейнетақы төлемдерін алуға құқық беретін жалған құжаттарды дайындаумен және өткізумен айналысатын адамдар тобын әшкереледі. 

""Тексеру барысында ҚХР-дың түрлі ұйымының мөртаңбасы мен мөрлерінің жалған бедерлері, нотариустың мөрі мен қолы бар нотариаттық бланкілер, кесуге арналған станок және басқа да заттар табылды және тәркіленді. Олардың көмегімен әртүрлі жалған құжат жасалған: еңбек кітапшалары, туу туралы куәліктер және неке туралы куәліктер"", - деп хабарлады ведомстводағылар.

Осы іс бойынша тергеу жүріп жатыр.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/events/atyirau-oblyisyinda-52-jastagyi-turgyin-temr-kesetn-319046/,Атырау облысында 52 жастағы тұрғын темір кесетін аппаратпен бетін жарақаттап алды,"
Атырау облысы Қызылқоға ауданында 52 жастағы ер адам бетін темір кесетін аппаратпен ауыр жарақаттап алды, - деп хабарлайды Azh.kz.
Оқиға 2020 жылдың соңында болған. Аудандық ауруханада науқасқа шұғыл түрде алғашқы хирургиялық көмек көрсетіліп, кейін жедел жәрдем оны Атырау облыстық ауруханасына жеткізді. Онда оны жақ-бет хирургиясы бөлімі дәрігерлері тексеріп, компьютерлік томография жасап, ота жасады. Науқасқа оң жақ көз бұрышы, мұрын, үстіңгі ерін, ауыз, сол жақ иек, сол жақтағы альвеолярлық жақтың сынуы диагнозын қойды.
Басылым мәліметіне сүйенсек, ота төрт сағатқа созылған. Кейін ер адам бір тәулік бойы ота жасаған дәрігер Жасұлан Шадияровтың бақылауында болды. Бір апта бақылаудан кейін науқас үйіне шығарылды. Дәрігерлердің айтуынша, ер адамның бетінде, көз және ерін аумағында тыртық қалады.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/crime/almatyi-oblyisyi-blm-baskarmasyinyin-basshyisyi-kamauga-318806/,Алматы облысы білім басқармасының басшысы қамауға алынды,"
Сот Алматы облысы білім басқармасының басшысы Майгүл Омарованы қамауға алды. Бұл туралы облыстық прокуратура ресми сауалымызға жауапта жіберді, - деп хабарлайды Tengrinews.kz тілшісі.
Майгүл Омарова мен ""Алматы облыстық білім беру саласындағы ақпараттық технологиялар ғылыми-практикалық орталығы"" КММ басшысы Арапби Меңлібаев қамауға алынды.

""2021 жылы 4 ақпанда Талдықорған мамандандырылған тергеу соты күдіктілер М.Т. Омарова мен А.А. Меңлібаевқа қатысты екі айға күзетпен ұстау түріндегі бұлтартпау шарасын санкциялады. Күдікті Б.С. Абдолданова үйқамаққа алынды"", - деп хабарлады Алматы облысының прокуратура өкілдері.

Қазіргі уақытта іс бойынша соталды тергеу жүріп жатыр. ҚІЖК-нің 201-бабына сәйкес тергеу мүддесіндегі басқа мәліметтер әзірге жария етілмейді.
Еске салайық, Сыбайлас жемқорлыққа қарсы іс-қимыл агенттігінің Алматы облысы бойынша департаменті ""Алматы облысының білім басқармасы"" ММ-нің лауазымды тұлғаларына қатысты соталды тергеу бастаған болатын. Іс ҚР ҚК-нің 366-бабы 4-бөлігі ""Пара алу"" және ҚР ҚК-нің 367-бабы 4-бөлігі ""Пара беру"" бойында тергеліп жатыр.
Тергеу материалдарына сәйкес, Майгүл Омарова 2020 жылдың қазан-қараша айларында жалпы сомасы 406 миллион теңгеге 2522 ноутбук жеткізуге және пандемиямен күрес бойынша дағдарысқа қарсы іс-шаралар шеңберінде сатып алынған ноутбуктерді кедергісіз қабылдауға мемлекеттік сатып алу шарттарын жасаған. 
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/events/almatyi-perzenthanasyinda-bosangan-ayel-kaytyis-boldyi-319781/,Алматы перзентханасында босанған әйел қайтыс болды,"
Алматыдағы №5 перзентханада жаңа босанған әйел қайтыс болды. Бұл туралы Алматы қалалық қоғамдық денсаулық сақтау басқармасы басшысының орынбасары Лаура Мырзағали мәлімдеді, - деп хабарлайды Tengrinews.kz тілшісі.
Онлайн-брифингте Лаура Мырзағали босанған әйелдің өлімі туралы айтты. Оның айтуынша, қайғылы оқиға 2 наурызда болған.

""Өлім дерегі 2 наурызда №5 перзентханада тіркелді. Тергеу амалдары жүргізіліп жатыр. Сот-медициналық сараптама аяқталғаннан кейін қорытындыны аламыз"", - деді басқармасы басшысының орынбасары Лаура Мырзағали.

""Алматы бойынша нәрестелер өлімі азайды. Дегенмен ана өлімі әлі де бар. Қазір онкология, пульмонология және барлық басқа себептен болатын ана мен бала өлімін азайту бойынша жоспарлар әзірленіп жатыр"", - деп қосты ол.
Бұған дейін бұқаралық ақпарат құралдары әйел қайтыс болғанға дейін перзентханадағы сыбайлас жемқорлық туралы хабарлағанын жазған еді.

""Сыбайлас жемқорлық бойынша: бізге мұндай ақпарат түскен жоқ. Бірақ, егер тергеу дәлелдесе, біз өз тарапымыздан шара қалданамыз"", - деп жауап берді Лаура Мырзағали.

Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
https://kaz.tengrinews.kz/crime/almatyida-massaj-salonyinda-jezoksheler-uy-bolgan-319373/,Алматыда массаж салонында жезөкшелер үйі болған,"
Медеу ауданында массаж салонының атын жамылып, интим қызмет көрсететін жезөкшелер үйі анықталды. Мекемеде жұмыс істейтін қыздар массаж қызметінен бөлек өз клиенттеріне қосымша жеке қызметтер көрсеткен, - деп хабарлайды Polisia.kz.
Алматы полицейлері тағы бір жезөкшелер үйін анықтады, - деп хабарлайды Polisia.kz.

""Әкімнің тұрғындармен кездесуінде аудан тұрғындары түнгі уақытта жұмыс істейтін жеке кеңсеге шағымданды. Жедел-алдын алу іс-шаралары барысында мекен-жайдағы массаж салоны тексерілді. Тұрғындардың күдіктері дәлелді болып шықты - мекемеде жезөкшелер үйі орналасқан, онда жеңіл жүрісті 11 қыз анықталды. Сондай-ақ, әкімшілік өкілдері мен жұмысшы персонал аудандық басқармаға жеткізілді.
Қыздар арасында көрші республикалардың әйелдері де ""жұмыс істеді"". Ұсталғандардың бірі, 32 жастағы Ресей Федерациясының азаматы, оның ҚР ҚК-нің 190-бабы бойынша сотталығы бар"", - деді Алматы қалалық ПД Криминалдық полиция басқармасының басшысы Еркін Іңкәров.


Барлық ""жеңіл жүрісті"" қызға әкімшілік жазалау хаттамасы жасалды. Интим қызметтерді ұсынуға мекемені жалға берген үй иесі де тексеріледі. Ол ҚР-ның заңнамасына сәйкес жауапқа тартылады.
Сілтемесіз жаңалық оқисыз ба? Онда ""ВКонтакте"""
